key,cat
in vivo treatment,no
drug treatment,no
cell treatment,no
previoustreatment,no
treatment response for gene profiling,no
treatment response,no
tet1/tet2 treatment,no
msc treatment,no
treatment compound,no
sample treatment,no
treatment time,no
time of treatment,no
treatment period,no
treatment duration,no
days after treatment,no
drug treatment time point,no
weeks of treatment,no
treatment time (rhgaa),no
tnfa treatment time point,no
treatment_time,no
treatment length,no
time (days post-treatment),no
patient treatment plan,no
treatment-time,no
time after treatment,no
day of dss treatment,no
time post treatment,no
time of tamoxifen treatment,no
days of ddc treatment,no
weeks after treatment,no
post-treatment time,no
length of treatment,no
duration of il-6 treatment,no
treatment start age,no
days of treatment,no
duration of treatment,no
treatment code,no
time post-treatment,no
treatment age,no
pre-treatment psa,no
treatment protocol (post-agent),no
pretreatment drug & dose,no
pre-treatment,no
pretreatment,no
treatment group,no
sirna treatment group,no
h2o2 treatment level,no
maternal treatment group,no
bl treatment level,no
prior treatment,no
treatment category,no
tissue/treatment id,no
