key,cat
scanstrain,no
strain fgsc number,no
strain (donor),no
bacteria strain,no
virus strain,no
mouse strain,no
mice strain,no
plant strain,no
parasite strain,no
tissuer type,no
tissue_detail,no
tissuetype,no
cell line source tissue,no
cell/tissue type,no
tissue,no
tissue-type,no
original tissue,no
tissue/cell lines,no
primary tissue,no
tumor/tissue type,no
tissue lineage,no
sample type,no
cell tissue,no
harvested tissue type,no
tissue or cell type,no
organ/tissue type,no
tissue isolated,no
tissue/cell type,no
tissue typ,no
tissue/cell line,no
host tissue,no
tissues,no
tissue type,no
tissue_surgery,no
cell line tissue source,no
tissue or cells,no
tissue/cell,no
tissue diagnosis,no
tissue (organ),no
sample tissue type,no
tissuet type,no
source tissue type,no
tissue_type,no
sample tissue of origin,no
tissue_source,no
tissue derivation,no
tumor tissue source,no
tissue_depot,no
tissue/origin,no
source tissue,no
tissue source site,no
organ/tissue,no
tissue/source,no
tissue of origin,no
tissue origination,no
tissue site,no
tissue provider,no
tissue-of-origin,no
tissue morphology,no
original tissue source,no
tissue_biological,no
tissue location,no
tissue compartment,no
tissue origin of primary cultures,no
tissue source,no
tissue origin,no
tissue derived,no
stage/tissue,no
tissue & age,no
age of ffpe tissue,no
tissue status,no
day of tissue dissection,no
tissue collection time,no
tissue stage,no
age at tissue collection (days),no
tissue age,no
tissue condition,no
tissue state,no
tissue/development stage,no
tissue and developemental stage,no
tissue archive method,no
tissue separation,no
tissue preservation,no
tissue archive,no
tissue preserve method,no
tissue processing,no
tissue storage,no
tissue preparation,no
tissue harvest,no
tissue collection,no
tissue harvest methods,no
tissue collection method,no
tissue extraction,no
tissue part,no
tissue subtype,no
tissue sub-type,no
tissue/tumor subtype,no
tissuebank,no
tissue bank,no
tissue weigth,no
tissue_mg,no
tissue section,no
tissue subregion,no
tissue region,no
disease/treatment status,no
treatment2_in vivo treatment,no
treatment stage,no
treatments,no
treatment agent,no
treatment_molecule,no
lighttreatment,no
treatment result,no
treatment_2,no
treatment_1,no
tissue treatment,no
cactus host treatment,no
oxygen treatment,no
tap treatment,no
inducer treatment,no
treatment/exposure,no
order of treatment,no
treatment_dose,no
treatment dosage,no
treatment_category,no
globin treatment,no
dht treatment,no
treatment protocol,no
art treatment,no
treatment 1,no
dox treatment,no
treatment 2,no
response to treatment,no
ms treatment,no
chx treatment,no
uv treatment,no
dopamine-agonists treatment,no
treatment before sampling,no
l-dopa treatment,no
c local treatment,no
treatment,no
response to tzd treatment,no
nrti treatment status,no
tamoxifen-citrate treatment,no
treatment status,no
pbmc treatment,no
treatment description,no
in vitro treatment,no
hormone treatment,no
treatment type,no
hormonal treatment,no
animal treatment,no
stress treatment,no
ligand treatment,no
c systemic treatment,no
treatment_response,no
genotype/treatment,no
lenolidamide treatment,no
treatments comments,no
culture conditions/treatment,no
experimental treatment,no
heat treatment,no
treatment dose,no
in vivo treatment,no
drug treatment,no
cell treatment,no
previoustreatment,no
treatment response for gene profiling,no
treatment response,no
tet1/tet2 treatment,no
msc treatment,no
treatment compound,no
sample treatment,no
treatment time,no
time of treatment,no
treatment period,no
treatment duration,no
days after treatment,no
drug treatment time point,no
weeks of treatment,no
treatment time (rhgaa),no
tnfa treatment time point,no
treatment_time,no
treatment length,no
time (days post-treatment),no
patient treatment plan,no
treatment-time,no
time after treatment,no
day of dss treatment,no
time post treatment,no
time of tamoxifen treatment,no
days of ddc treatment,no
weeks after treatment,no
post-treatment time,no
length of treatment,no
duration of il-6 treatment,no
treatment start age,no
days of treatment,no
duration of treatment,no
treatment code,no
time post-treatment,no
treatment age,no
pre-treatment psa,no
treatment protocol (post-agent),no
pretreatment drug & dose,no
pre-treatment,no
pretreatment,no
treatment group,no
sirna treatment group,no
h2o2 treatment level,no
maternal treatment group,no
bl treatment level,no
prior treatment,no
treatment category,no
tissue/treatment id,no
