gsm,description,treatment_protocol_ch1,treatment_protocol_ch2,extract_protocol_ch1,extract_protocol_ch2
GSM923880,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923881,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923882,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923883,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923884,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923885,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923886,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923887,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923888,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923889,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923890,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923891,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923892,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923893,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923894,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923895,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923896,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923897,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923898,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923899,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923900,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923901,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923902,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923903,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923904,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923905,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923906,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923907,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923908,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923909,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923910,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923911,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923912,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923913,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923914,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923915,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923916,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923917,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923918,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923919,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923920,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923921,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923922,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923923,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923924,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923925,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923926,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923927,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923928,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923929,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923930,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923931,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923932,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923933,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923934,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923935,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923936,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923937,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923938,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923939,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923940,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923941,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923942,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923943,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923944,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923945,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
GSM923946,,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
