key,key_class
treatment_dose,treatment
treatment dosage,treatment
treatment_category,treatment
globin treatment,treatment
dht treatment,treatment
treatment protocol,treatment
art treatment,treatment
treatment 1,treatment
dox treatment,treatment
treatment 2,treatment
response to treatment,treatment
ms treatment,treatment
chx treatment,treatment
uv treatment,treatment
dopamine-agonists treatment,treatment
treatment before sampling,treatment
l-dopa treatment,treatment
c local treatment,treatment
treatment,treatment
response to tzd treatment,treatment
nrti treatment status,treatment
tamoxifen-citrate treatment,treatment
treatment status,treatment
pbmc treatment,treatment
treatment description,treatment
in vitro treatment,treatment
hormone treatment,treatment
treatment type,treatment
hormonal treatment,treatment
animal treatment,treatment
stress treatment,treatment
ligand treatment,treatment
c systemic treatment,treatment
treatment_response,treatment
genotype/treatment,treatment
lenolidamide treatment,treatment
treatments comments,treatment
culture conditions/treatment,treatment
experimental treatment,treatment
heat treatment,treatment
treatment dose,treatment
in vivo treatment,treatment
drug treatment,treatment
cell treatment,treatment
previoustreatment,treatment
treatment response for gene profiling,treatment
treatment response,treatment
tet1/tet2 treatment,treatment
msc treatment,treatment
treatment compound,treatment
sample treatment,treatment
treatment time,treatment
time of treatment,treatment
treatment period,treatment
treatment duration,treatment
days after treatment,treatment
drug treatment time point,treatment
weeks of treatment,treatment
treatment time (rhgaa),treatment
tnfa treatment time point,treatment
treatment_time,treatment
treatment length,treatment
time (days post-treatment),treatment
patient treatment plan,treatment
treatment-time,treatment
time after treatment,treatment
day of dss treatment,treatment
time post treatment,treatment
time of tamoxifen treatment,treatment
days of ddc treatment,treatment
weeks after treatment,treatment
post-treatment time,treatment
length of treatment,treatment
duration of il-6 treatment,treatment
treatment start age,treatment
days of treatment,treatment
duration of treatment,treatment
treatment code,treatment
time post-treatment,treatment
treatment age,treatment
pre-treatment psa,treatment
treatment protocol (post-agent),treatment
pretreatment drug & dose,treatment
pre-treatment,treatment
pretreatment,treatment
treatment group,treatment
sirna treatment group,treatment
h2o2 treatment level,treatment
maternal treatment group,treatment
bl treatment level,treatment
prior treatment,treatment
treatment category,treatment
tissue/treatment id,treatment
