key,cat
mice strain,no
plant strain,no
parasite strain,no
tissuer type,no
tissue_detail,no
tissuetype,no
cell line source tissue,no
cell/tissue type,no
tissue,no
tissue-type,no
original tissue,no
tissue/cell lines,no
primary tissue,no
tumor/tissue type,no
tissue lineage,no
sample type,no
cell tissue,no
harvested tissue type,no
tissue or cell type,no
organ/tissue type,no
tissue isolated,no
tissue/cell type,no
tissue typ,no
tissue/cell line,no
host tissue,no
tissues,no
tissue type,no
tissue_surgery,no
cell line tissue source,no
tissue or cells,no
tissue/cell,no
tissue diagnosis,no
tissue (organ),no
sample tissue type,no
tissuet type,no
source tissue type,no
tissue_type,no
sample tissue of origin,no
tissue_source,no
tissue derivation,no
tumor tissue source,no
tissue_depot,no
tissue/origin,no
source tissue,no
tissue source site,no
organ/tissue,no
tissue/source,no
tissue of origin,no
tissue origination,no
tissue site,no
tissue provider,no
tissue-of-origin,no
tissue morphology,no
original tissue source,no
tissue_biological,no
tissue location,no
tissue compartment,no
tissue origin of primary cultures,no
tissue source,no
tissue origin,no
tissue derived,no
stage/tissue,no
tissue & age,no
age of ffpe tissue,no
tissue status,no
day of tissue dissection,no
tissue collection time,no
tissue stage,no
age at tissue collection (days),no
tissue age,no
tissue condition,no
tissue state,no
tissue/development stage,no
tissue and developemental stage,no
tissue archive method,no
tissue separation,no
tissue preservation,no
tissue archive,no
tissue preserve method,no
tissue processing,no
tissue storage,no
tissue preparation,no
tissue harvest,no
tissue collection,no
tissue harvest methods,no
tissue collection method,no
tissue extraction,no
tissue part,no
tissue subtype,no
tissue sub-type,no
tissue/tumor subtype,no
tissuebank,no
tissue bank,no
tissue weigth,no
tissue_mg,no
tissue section,no
tissue subregion,no
tissue region,no
disease/treatment status,treatment
treatment2_in vivo treatment,treatment
treatment stage,treatment
treatments,treatment
treatment agent,treatment
treatment_molecule,treatment
lighttreatment,treatment
treatment result,treatment
treatment_2,treatment
treatment_1,treatment
tissue treatment,treatment
cactus host treatment,treatment
oxygen treatment,treatment
tap treatment,treatment
inducer treatment,treatment
treatment/exposure,treatment
order of treatment,treatment
treatment_dose,treatment
treatment dosage,treatment
treatment_category,treatment
globin treatment,treatment
dht treatment,treatment
treatment protocol,treatment
art treatment,treatment
treatment 1,treatment
dox treatment,treatment
treatment 2,treatment
response to treatment,treatment
ms treatment,treatment
chx treatment,treatment
uv treatment,treatment
dopamine-agonists treatment,treatment
treatment before sampling,treatment
l-dopa treatment,treatment
c local treatment,treatment
treatment,treatment
response to tzd treatment,treatment
nrti treatment status,treatment
tamoxifen-citrate treatment,treatment
treatment status,treatment
pbmc treatment,treatment
treatment description,treatment
in vitro treatment,treatment
hormone treatment,treatment
treatment type,treatment
hormonal treatment,treatment
animal treatment,treatment
stress treatment,treatment
ligand treatment,treatment
c systemic treatment,treatment
treatment_response,treatment
genotype/treatment,treatment
lenolidamide treatment,treatment
treatments comments,treatment
culture conditions/treatment,treatment
experimental treatment,treatment
heat treatment,treatment
treatment dose,treatment
in vivo treatment,treatment
drug treatment,treatment
cell treatment,treatment
previoustreatment,treatment
treatment response for gene profiling,treatment
treatment response,treatment
tet1/tet2 treatment,treatment
msc treatment,treatment
treatment compound,treatment
sample treatment,treatment
treatment time,treatment
time of treatment,treatment
treatment period,treatment
treatment duration,treatment
days after treatment,treatment
drug treatment time point,treatment
weeks of treatment,treatment
treatment time (rhgaa),treatment
tnfa treatment time point,treatment
treatment_time,treatment
treatment length,treatment
time (days post-treatment),treatment
patient treatment plan,treatment
treatment-time,treatment
time after treatment,treatment
day of dss treatment,treatment
time post treatment,treatment
time of tamoxifen treatment,treatment
days of ddc treatment,treatment
weeks after treatment,treatment
post-treatment time,treatment
length of treatment,treatment
duration of il-6 treatment,treatment
treatment start age,treatment
days of treatment,treatment
duration of treatment,treatment
treatment code,treatment
time post-treatment,treatment
treatment age,treatment
pre-treatment psa,treatment
treatment protocol (post-agent),treatment
pretreatment drug & dose,treatment
pre-treatment,treatment
pretreatment,treatment
treatment group,treatment
sirna treatment group,treatment
h2o2 treatment level,treatment
maternal treatment group,treatment
bl treatment level,treatment
prior treatment,treatment
treatment category,treatment
tissue/treatment id,treatment
